alpha,n=6,n=10,n=16
0.1,1.0,1.0,1.0
0.35789473684210527,1.0,1.0,1.0
0.6157894736842106,1.0,0.99951,0.99962
0.8736842105263158,0.99829,0.997,0.99448
1.1315789473684212,0.99252,0.97263,0.95541
1.3894736842105266,0.94322,0.9222,0.84615
1.6473684210526318,0.88354,0.76242,0.6506
1.905263157894737,0.69161,0.52858,0.41359
2.1631578947368424,0.5738,0.37965,0.22481
2.421052631578948,0.35523,0.2041,0.10377
2.678947368421053,0.19366,0.12447,0.04265
2.936842105263158,0.13608,0.05483,0.01687
3.1947368421052635,0.06357,0.03075,0.00443
3.452631578947369,0.04151,0.01138,0.00134
3.710526315789474,0.01705,0.00377,0.00041
3.9684210526315793,0.01034,0.00205,0.00012
4.226315789473684,0.00353,0.00074,3e-05
4.484210526315789,0.00216,0.00033,2e-05
4.742105263157895,0.00074,8e-05,0.0
5.0,0.00011,6e-05,0.0
