optimizer,p,m,energy_Hc,time_sec,trial,C_max,C_qaoa,approx_ratio
L-BFGS-B,8,4,2.0180287996218735e-10,60.79870128631592,25,4.0,3.999999999798197,0.9999999999495492
L-BFGS-B,16,4,9.283861457376473e-10,31.7548725605011,25,4.0,3.9999999990716137,0.9999999997679034
L-BFGS-B,8,4,5.171832210545957e-05,223.12517166137692,26,4.0,3.999948281677895,0.9999870704194735
L-BFGS-B,16,4,5.170944501894925e-05,73.98607897758484,26,4.0,3.999948290554981,0.9999870726387452
L-BFGS-B,8,4,2.7067004193526145e-10,38.384883642196655,27,4.0,3.99999999972933,0.9999999999323324
L-BFGS-B,16,4,3.295175188267052e-09,37.78600382804871,27,4.0,3.9999999967048248,0.9999999991762062
L-BFGS-B,8,4,9.801183463220564e-06,184.9466507434845,28,4.0,3.999990198816537,0.9999975497041342
L-BFGS-B,16,4,9.840785384351848e-06,41.649932622909546,28,4.0,3.999990159214616,0.999997539803654
L-BFGS-B,8,4,2.67336980169508e-05,86.6836678981781,29,4.0,3.999973266301983,0.9999933165754956
L-BFGS-B,16,4,2.672836907610665e-05,17.405056953430176,29,4.0,3.999973271630924,0.9999933179077308
L-BFGS-B,8,4,1.0858855561374224e-05,54.3641562461853,30,4.0,3.999989141144439,0.9999972852861096
L-BFGS-B,16,4,1.0933071668134398e-05,20.563732624053955,30,4.0,3.999989066928332,0.999997266732083
L-BFGS-B,8,4,8.478051594096314e-12,58.22540497779846,31,4.0,3.999999999991522,0.9999999999978804
L-BFGS-B,16,4,2.35969629946986e-09,31.99032497406006,31,4.0,3.999999997640304,0.999999999410076
L-BFGS-B,8,4,1.1323145199249039e-10,53.48720669746399,32,4.0,3.999999999886768,0.999999999971692
L-BFGS-B,16,4,1.6109955036647247e-10,39.76840925216675,32,4.0,3.999999999838901,0.9999999999597252
L-BFGS-B,8,4,3.360475508973337e-10,23.743556022644043,33,4.0,3.999999999663952,0.999999999915988
L-BFGS-B,16,4,5.431216587581389e-10,30.398130893707275,33,4.0,3.9999999994568793,0.9999999998642196
L-BFGS-B,8,4,5.337292485319001e-05,184.06398177146912,34,4.0,3.999946627075147,0.9999866567687868
L-BFGS-B,16,4,5.3380222478249806e-05,32.98498225212097,34,4.0,3.9999466197775218,0.9999866549443804
L-BFGS-B,8,8,0.0035299879979353,857.7856550216675,25,8.0,7.996470012002065,0.999558751500258
L-BFGS-B,16,8,0.0034731881208815,5032.281238555908,25,8.0,7.996526811879119,0.99956585148489
L-BFGS-B,8,8,0.0049806734209785,463.1293914318085,26,8.0,7.995019326579022,0.9993774158223776
L-BFGS-B,16,8,0.0002512942166278,8344.339982271194,26,8.0,7.9997487057833725,0.9999685882229216
L-BFGS-B,8,8,0.0034170248382936,282.9447498321533,27,8.0,7.996582975161706,0.9995728718952132
L-BFGS-B,16,8,0.0034169607917525,113.31927061080933,27,8.0,7.996583039208247,0.9995728799010308
L-BFGS-B,8,8,0.0193865739816449,111.78732681274414,28,8.0,7.980613426018355,0.9975766782522943
L-BFGS-B,16,8,0.0007407202984569,8092.550751447678,28,8.0,7.999259279701543,0.9999074099626928
