optimizer,p,m,energy_Hc,time_sec,trial,C_max,C_qaoa,approx_ratio
L-BFGS-B,1,2,0.0,0.48,0,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.4,0,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.79,0,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.39,0,2,2.0,1.0
L-BFGS-B,16,2,0.0,5.99,0,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.41,1,2,2.0,1.0
L-BFGS-B,2,2,-0.0,0.34,1,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.37,1,2,2.0,1.0
L-BFGS-B,8,2,0.0,0.86,1,2,2.0,1.0
L-BFGS-B,16,2,0.0,3.0,1,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.44,2,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.42,2,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.66,2,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.75,2,2,2.0,1.0
L-BFGS-B,16,2,0.0,6.38,2,2,2.0,1.0
L-BFGS-B,1,2,0.0283,0.8,3,2,1.9717,0.98585
L-BFGS-B,2,2,0.0,1.98,3,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.79,3,2,2.0,1.0
L-BFGS-B,8,2,0.0,2.19,3,2,2.0,1.0
L-BFGS-B,16,2,0.0,10.7,3,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.55,4,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.3,4,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.64,4,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.46,4,2,2.0,1.0
L-BFGS-B,16,2,0.0,6.48,4,2,2.0,1.0
L-BFGS-B,1,2,0.06,0.39,5,2,1.94,0.97
L-BFGS-B,2,2,0.0,1.29,5,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.6,5,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.65,5,2,2.0,1.0
L-BFGS-B,16,2,0.0,4.05,5,2,2.0,1.0
L-BFGS-B,1,2,0.0,0.45,6,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.47,6,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.8,6,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.34,6,2,2.0,1.0
L-BFGS-B,16,2,0.0,4.72,6,2,2.0,1.0
L-BFGS-B,1,2,0.06,0.45,7,2,1.94,0.97
L-BFGS-B,2,2,0.0,1.22,7,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.69,7,2,2.0,1.0
L-BFGS-B,8,2,0.0,1.28,7,2,2.0,1.0
L-BFGS-B,16,2,0.0,3.57,7,2,2.0,1.0
L-BFGS-B,1,2,0.06,0.37,8,2,1.94,0.97
L-BFGS-B,2,2,0.0,1.0,8,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.4,8,2,2.0,1.0
L-BFGS-B,8,2,0.0,0.78,8,2,2.0,1.0
L-BFGS-B,16,2,0.0,2.07,8,2,2.0,1.0
L-BFGS-B,1,2,-0.0,0.35,9,2,2.0,1.0
L-BFGS-B,2,2,0.0,0.35,9,2,2.0,1.0
L-BFGS-B,4,2,0.0,0.43,9,2,2.0,1.0
L-BFGS-B,8,2,0.0,0.7,9,2,2.0,1.0
L-BFGS-B,16,2,0.0,1.55,9,2,2.0,1.0
