optimizer,p,m,energy_Hc,success_prob,time_sec,trial,C_max,C_qaoa,approx_ratio
COBYLA,1,2,0.0282932294398407,0.97265625,1.238680124282837,0,2,1.9717067705601592,0.9858533852800796
COBYLA,2,2,3.279574935510788e-07,1.0,5.68747878074646,0,2,1.9999996720425064,0.9999998360212532
COBYLA,4,2,3.054471986452256e-08,1.0,2.2749295234680176,0,2,1.9999999694552801,0.9999999847276401
COBYLA,8,2,2.734733606235551e-09,1.0,6.989289999008179,0,2,1.9999999972652664,0.9999999986326332
COBYLA,16,2,1.2593887044332064e-09,1.0,14.069489002227783,0,2,1.9999999987406114,0.9999999993703057
COBYLA,1,2,0.0282932337810396,0.98046875,1.0939555168151855,1,2,1.9717067662189605,0.9858533831094802
COBYLA,2,2,1.392337213856898e-07,1.0,11.174384593963625,1,2,1.9999998607662786,0.9999999303831393
COBYLA,4,2,5.2633413169522754e-08,1.0,2.645418405532837,1,2,1.9999999473665868,0.9999999736832934
COBYLA,8,2,3.143527502191823e-08,1.0,8.10195517539978,1,2,1.999999968564725,0.9999999842823625
COBYLA,16,2,3.5933397243836935e-08,1.0,10.858519554138184,1,2,1.9999999640666029,0.9999999820333014
COBYLA,1,2,2.181326730354982e-09,1.0,1.1354050636291504,2,2,1.9999999978186733,0.9999999989093367
COBYLA,2,2,3.02525196560488e-09,1.0,1.3247287273406982,2,2,1.999999996974748,0.999999998487374
COBYLA,4,2,1.9125308531320332e-08,1.0,1.5083670616149902,2,2,1.9999999808746916,0.9999999904373458
COBYLA,8,2,8.29487589726341e-11,1.0,3.113422155380249,2,2,1.9999999999170512,0.9999999999585256
COBYLA,16,2,3.567776629687103e-11,1.0,10.957274913787842,2,2,1.9999999999643223,0.9999999999821612
COBYLA,1,2,0.0282932311545083,0.97265625,1.3423011302947998,3,2,1.9717067688454917,0.9858533844227458
COBYLA,2,2,4.5287681538219726e-07,1.0,5.185338735580444,3,2,1.9999995471231846,0.9999997735615923
COBYLA,4,2,1.187654985468356e-07,1.0,2.8359580039978027,3,2,1.9999998812345015,0.9999999406172507
COBYLA,8,2,8.950303873045407e-09,1.0,3.942747831344605,3,2,1.9999999910496962,0.9999999955248481
COBYLA,16,2,1.745292257937514e-09,1.0,8.919381618499756,3,2,1.9999999982547076,0.9999999991273538
COBYLA,1,2,0.4077479145102556,0.5771484375,2.763334989547729,4,2,1.5922520854897444,0.7961260427448722
COBYLA,2,2,5.627619727360811e-06,1.0,14.061228275299072,4,2,1.9999943723802727,0.9999971861901363
COBYLA,4,2,5.573734717101431e-06,1.0,1.8436965942382808,4,2,1.999994426265283,0.9999972131326414
COBYLA,8,2,2.477629043734497e-06,1.0,24.67736029624939,4,2,1.9999975223709563,0.9999987611854781
COBYLA,16,2,2.593961629354657e-06,1.0,13.833698272705078,4,2,1.9999974060383707,0.9999987030191854
COBYLA,1,2,0.0282932298292841,0.982421875,1.0534875392913818,5,2,1.9717067701707158,0.9858533850853579
COBYLA,2,2,3.152707171494296e-06,1.0,21.227126598358154,5,2,1.9999968472928285,0.9999984236464142
COBYLA,4,2,1.1416380285567131e-08,1.0,2.929610013961792,5,2,1.9999999885836197,0.9999999942918099
COBYLA,8,2,3.371836782006809e-09,1.0,5.455410718917847,5,2,1.9999999966281632,0.9999999983140816
COBYLA,16,2,2.078977268116233e-10,1.0,18.741461992263797,5,2,1.9999999997921023,0.9999999998960512
COBYLA,1,2,0.0599568587079497,0.9365234375,1.1114394664764404,6,2,1.9400431412920502,0.9700215706460251
COBYLA,2,2,1.92157822337391e-06,1.0,18.23313879966736,6,2,1.9999980784217766,0.9999990392108883
COBYLA,4,2,2.601071916963349e-06,1.0,6.571749210357666,6,2,1.999997398928083,0.9999986994640415
COBYLA,8,2,2.347833491705975e-06,1.0,30.90467476844788,6,2,1.9999976521665084,0.9999988260832542
